skilllist;skill;effect;condition
Speed;Scale Sheer Surfaces;A warrior can climb up or down a height equal to twice his normal Movement, and does not need to make Initiative tests when doing so.
Academic;Battle Tongue;This increases the range of his Leader ability by 6". Note that Undead leaders may not use this skill.;Leader
Academic;Sorcery;A warrior with this skill gains +1 to his rolls to see whether he can cast spells successfully or not. Note that Sisters of Sigmar and Warrior-Priests may not use this skill.;Wizard
Academic;Streetwise;The may add +2 to the roll that determines his chances of finding rare items (see the Trading section).
Academic;Haggle;The warrior may deduct 2D6 gold crowns from the price of any single item (to a minimum cost of 1gc) once per post battle sequence.
Academic;Arcane Lore;Witch Hunters, Sisters of Sigmar and Warrior-Priests may not have this skill. Any warrior with this skill may learn Lesser Magic if he owns a Tome of Magic.
Academic;Wyrdstone Hunter;If a Hero with this skill is searching the ruins in the exploration phase you may re-roll one dice when rolling on the Exploration chart.
Academic;Warrior Wizard;The wizard may wear armour and cast spells.;Wizard
Academic;Scribe;The warrior may inscribe a spell or prayer on a scroll before the battle. The scroll may be used just before they are about to cast the spell or prayer and allows the caster +2 to his difficulty roll. The scroll can only be used once. Scrolls may not be saved up from battle to battle if they are not used.;Wizard,Priest
Academic;Mind Focus;When using a spell or prayer the warrior with this skill may re-roll one dice roll used in the difficulty roll.;Wizard,Priest
Academic;Tactican;In any scenario the warband leader may reposition his warriors after his opponent has set up and may even advance them up to 12 inch onto the board instead of 8 inch.;Leader
Academic;Hunch;In any scenario the warband leader may position up to 3 of his men capable of earning experience in any ruined building on the board that is at least 12 inch away from an enemy model and not in the enemy deployment zone.;Leader
Academic;Magical Aptitude;The warrior may attempt to cast two spells each turn as long as he is not in hand-to-hand combat. After attempting the first spell, he must take a toughness test. If he passes he may attempt a second spell that turn or even cast the same spell twice. If he fails he must roll on the injury table immediately with no saves treating Out Of Action results as stunned instead.;Wizard
Academic;Trap Expert;This Hero is able to detect traps in the tombs with relative ease. A character who possesses this skill will never set off traps himself (but may be subject to their effects if he is too close to one if it goes off). He can attempt to disarm any traps he comes across. He must stop at the trap during his Movement phase, and may do nothing else that turn. To disarm a Simple trap, he must roll 6+ on 2D6. To disarm a Complex trap, he must roll 8+ on 2D6. If unsuccessful, he must test against his Initiative. A failed test means he has inadvertently set off the trap himself!He is also able to restore dud traps or previously de-activated traps back into active traps. To determine what a Dud trap becomes, roll a D6: 1-4: Simple, 5-6: Complex. Obviously a previously disarmed trap will revert back to what it was. If restoring a Simple trap, he must roll a 6+ on 2D6. If restoring a Complex trap, he must roll an 8+. Failure will mean that the trap has failed to activate.
Skaven;Black Hunger;The Skaven Hero may declare at the beginning of his turn that he is using this skill. The Hero may add +1 attack and +D3" to the total move to his profile for the duration of his own turn but will suffer D3 S3 hits with no armour save possible at the end of the turn.
Skaven;Art of Silent Death;In hand-to-hand combat the Skaven can fight with his bare paws without any penalties and counts as having two weapons (i.e. +1 attack). In addition a Skaven Hero with this skill will cause a critical hit on a To Wound roll of 5-6 instead of just 6. This skill may be used in conjunction with Fighting Claws (+2 Attacks instead of +1).
Skaven;Infiltration;A Skaven with this skill is always placed on the battlefield after the opposing warband and can be placed anywhere on the table as long as it is out of sight of the opposing warband and more than 12" away from any enemy model. If both players have models which infiltrate roll a D6 for each and the lowest roll sets up first.
Skaven;Tail Fighting;The Skaven may wield a shield, knife or a sword with its tail. The model gains an extra attack with the appropriate weapon or a +1 bonus to its armour save.
Skaven;Wall Runner;The Skaven does not need to take an Initiative test when climbing up walls and other sheer surfaces.
Beastmen;Shaggy Hide;The bestial hero is titanic in size and may use a double-handed weapon in one hand.;
Beastmen;Mutant;The Beastman may buy one mutation. See Mutants section on special rules.;
Beastmen;Fearless;Immune to fear and terror and All Alone test.;
Beastmen;Horned One;Can make an additional Attack with its basic Strength on a turn it charges.;
Beastmen;Bellowing Roar;Only the Beastmen Chief may have this skill. He may re-roll any failed Rout tests.;
Beastmen;Manhater;The Beastman is subject to Hatred when fighting any Human warbands.;


